Key.cmd,1652800725944635000
P,'teacher',1652800899983765000
R,'teacher',1652800899984677000
P,Key.cmd,1652800908237752000
R,Key.cmd,1652800908731868000
P,Key.cmd,1652800909198014000
P,Key.tab,1652800909701947000
R,Key.tab,1652800909933859000
R,Key.cmd,1652800909961902000
R,<0>,1652800910218563000
P,Key.cmd,1652800910984322000
P,'c',1652800911204804000
R,Key.cmd,1652800911468716000
R,'c',1652800911500820000
R,Key.fn,1652800912474554000
R,Key.fn,1652800912882627000
P,Key.fn,1652800912883221000
R,Key.fn,1652800912883671000
P,Key.ctrl,1652800913264901000
P,'c',1652800913716605000
